name,color,odometer(km),doors,price
Toyota,Red,52617,5,30984
Honda,White,50935,5,38035
BMW,Black,180024,4,26620
BMW,Red,138257,4,10491
Honda,Red,124021,4,33898
Honda,White,230574,4,38377
Toyota,White,232674,2,42059
Honda,Blue,104686,2,9154
Toyota,Blue,25575,4,36399
Honda,Green,9285,2,24814
Honda,Red,43745,2,6209
Honda,Red,73745,4,14822
Toyota,Blue,241189,4,35022
BMW,Gray,183723,5,26349
BMW,White,89729,5,42294
BMW,Silver,66160,4,29306
Honda,White,75748,2,17358
Honda,Gray,89944,2,15142
Honda,Blue,186124,5,48845
Honda,Silver,83545,2,19606
BMW,Red,71398,5,45450
Toyota,Silver,79352,5,23259
Honda,Blue,188210,4,10331
Toyota,White,67827,4,41434
Honda,Red,127541,4,25675
Toyota,Blue,164894,4,11357
Honda,White,106031,4,5117
Honda,White,42861,2,30327
Honda,Blue,65861,4,6318
Honda,Black,213952,2,38068
Toyota,Silver,219906,4,18864
Toyota,White,247668,5,5043
Toyota,Green,163879,5,6409
BMW,Gray,99067,5,48066
Toyota,Green,80068,4,48050
Toyota,Green,231771,5,48748
BMW,Blue,105610,2,33806
Honda,Silver,191830,2,6390
Toyota,Red,100700,5,38256
BMW,Red,142496,4,42722
BMW,Green,178216,2,16311
Honda,Black,134329,2,12489
Honda,Blue,164059,4,38876
BMW,Red,52534,5,15239
Toyota,Gray,125825,5,27077
Toyota,Silver,130508,5,7352
Toyota,Blue,215691,5,41500
Honda,Green,222562,5,6456
BMW,Black,156963,2,19505
BMW,Green,12966,2,10506
BMW,White,76505,4,12312
BMW,Red,153109,4,10292
BMW,Red,122939,5,38599
BMW,Blue,211513,2,19879
Toyota,Red,106362,4,38857
Toyota,Black,147879,2,10631
BMW,Gray,75394,5,5531
Honda,Black,128283,2,7634
BMW,Green,58156,5,10502
Honda,White,241446,5,24455
Honda,Red,132259,2,23799
Toyota,Gray,162476,4,21136
BMW,Silver,208194,4,49070
Toyota,Black,89336,5,21695
Toyota,Gray,224793,2,5487
BMW,Black,127967,4,48630
BMW,Gray,135432,2,45384
Honda,Black,146246,4,49022
BMW,Green,79166,2,48549
Toyota,Black,210599,4,24067
Honda,Blue,220399,4,47341
Toyota,Gray,31982,2,32954
Honda,Silver,54120,4,9250
BMW,Red,135484,4,9771
BMW,Gray,143692,5,13501
Honda,Black,51755,2,45708
BMW,White,229466,4,47056
Honda,Black,181689,2,29579
Toyota,Blue,13070,5,44354
Honda,Blue,200370,5,38491
BMW,Red,47787,4,22748
Honda,Green,201981,4,19488
BMW,Red,95221,2,48708
BMW,Blue,239209,2,48716
Toyota,White,240756,2,16250
Toyota,Silver,113967,4,36676
Honda,White,175637,5,5090
Toyota,Silver,242140,4,9212
BMW,Black,244755,4,18778
Toyota,White,181106,2,31332
BMW,Black,164622,2,13144
BMW,Gray,12531,2,50486
BMW,Black,7284,4,8529
BMW,White,107697,5,38979
Toyota,Red,119825,2,37715
BMW,White,175880,4,16969
BMW,Silver,107473,2,14359
Honda,White,138548,4,24383
Toyota,Silver,242549,4,15103
BMW,Green,32145,2,15322
Toyota,Red,170748,5,18922
BMW,Blue,5978,2,21801
Honda,Blue,175924,4,44541
